indbygger_gruppe_id,fra_flytnings_kommune,til_flytnings_kommune,aarstal,antal_flyttede
22,4,1,2017,22
22,65,2,2006,0
22,65,2,2007,0
22,65,2,2008,1
22,65,2,2009,0
22,65,2,2010,0
22,65,2,2011,0
22,65,2,2012,0
22,65,2,2013,0
22,65,2,2014,0
22,65,2,2015,0
22,65,2,2016,0
22,65,2,2017,0
22,65,1,2006,0
22,65,1,2007,0
22,65,1,2008,0
22,65,1,2009,0
22,65,1,2010,0
22,65,1,2011,0
22,65,1,2012,0
22,65,1,2013,0
22,65,1,2014,0
22,65,1,2015,0
22,65,1,2016,0
22,65,1,2017,0
22,17,2,2006,0
22,17,2,2007,0
22,17,2,2008,1
22,17,2,2009,0
22,17,2,2010,3
22,17,2,2011,0
22,17,2,2012,1
22,17,2,2013,0
22,17,2,2014,0
22,17,2,2015,0
22,17,2,2016,2
22,17,2,2017,0
22,17,1,2006,0
22,17,1,2007,1
22,17,1,2008,2
22,17,1,2009,5
22,17,1,2010,0
22,17,1,2011,1
22,17,1,2012,2
22,17,1,2013,3
22,17,1,2014,3
22,17,1,2015,4
22,17,1,2016,2
22,17,1,2017,3
22,66,2,2006,0
22,66,2,2007,0
22,66,2,2008,0
22,66,2,2009,1
22,66,2,2010,0
22,66,2,2011,0
22,66,2,2012,0
22,66,2,2013,0
22,66,2,2014,0
22,66,2,2015,0
22,66,2,2016,0
22,66,2,2017,0
22,66,1,2006,0
22,66,1,2007,0
22,66,1,2008,0
22,66,1,2009,1
22,66,1,2010,1
22,66,1,2011,0
22,66,1,2012,0
22,66,1,2013,0
22,66,1,2014,0
22,66,1,2015,1
22,66,1,2016,0
22,66,1,2017,0
22,67,2,2006,0
22,67,2,2007,0
22,67,2,2008,0
22,67,2,2009,0
22,67,2,2010,0
22,67,2,2011,0
22,67,2,2012,0
22,67,2,2013,0
22,67,2,2014,0
22,67,2,2015,0
22,67,2,2016,0
22,67,2,2017,0
22,67,1,2006,1
22,67,1,2007,0
22,67,1,2008,3
22,67,1,2009,0
22,67,1,2010,0
22,67,1,2011,2
22,67,1,2012,0
22,67,1,2013,0
22,67,1,2014,0
22,67,1,2015,0
22,67,1,2016,1
22,67,1,2017,0
22,68,2,2006,0
22,68,2,2007,0
22,68,2,2008,1
22,68,2,2009,0
22,68,2,2010,0
22,68,2,2011,0
22,68,2,2012,0
22,68,2,2013,0
22,68,2,2014,0
22,68,2,2015,1
22,68,2,2016,0
22,68,2,2017,0
22,68,1,2006,1
22,68,1,2007,3
22,68,1,2008,0
22,68,1,2009,4
22,68,1,2010,2
22,68,1,2011,5
22,68,1,2012,1
22,68,1,2013,5
22,68,1,2014,4
22,68,1,2015,1
22,68,1,2016,1
22,68,1,2017,0
22,98,2,2006,0
22,98,2,2007,0
22,98,2,2008,0
22,98,2,2009,0
22,98,2,2010,0
22,98,2,2011,0
22,98,2,2012,0
22,98,2,2013,0
22,98,2,2014,0
22,98,2,2015,0
22,98,2,2016,0
22,98,2,2017,0
22,98,1,2006,0
22,98,1,2007,0
22,98,1,2008,0
22,98,1,2009,0
22,98,1,2010,0
22,98,1,2011,0
22,98,1,2012,0
22,98,1,2013,1
22,98,1,2014,0
22,98,1,2015,0
22,98,1,2016,0
22,98,1,2017,0
22,88,2,2006,0
22,88,2,2007,0
22,88,2,2008,0
22,88,2,2009,0
22,88,2,2010,1
22,88,2,2011,0
22,88,2,2012,0
22,88,2,2013,0
22,88,2,2014,0
22,88,2,2015,0
22,88,2,2016,0
22,88,2,2017,0
22,88,1,2006,1
22,88,1,2007,2
22,88,1,2008,1
22,88,1,2009,2
22,88,1,2010,1
22,88,1,2011,1
22,88,1,2012,0
22,88,1,2013,1
22,88,1,2014,1
22,88,1,2015,0
22,88,1,2016,0
22,88,1,2017,2
22,47,2,2006,1
22,47,2,2007,1
22,47,2,2008,1
22,47,2,2009,0
22,47,2,2010,0
22,47,2,2011,0
22,47,2,2012,0
22,47,2,2013,0
22,47,2,2014,0
22,47,2,2015,0
22,47,2,2016,0
22,47,2,2017,0
22,47,1,2006,4
22,47,1,2007,4
22,47,1,2008,2
22,47,1,2009,6
22,47,1,2010,4
22,47,1,2011,4
22,47,1,2012,2
22,47,1,2013,6
22,47,1,2014,3
22,47,1,2015,1
22,47,1,2016,1
22,47,1,2017,1
22,57,2,2006,0
22,57,2,2007,0
22,57,2,2008,0
22,57,2,2009,0
22,57,2,2010,0
22,57,2,2011,0
22,57,2,2012,0
22,57,2,2013,0
22,57,2,2014,0
22,57,2,2015,0
22,57,2,2016,0
22,57,2,2017,0
22,57,1,2006,0
22,57,1,2007,0
22,57,1,2008,0
22,57,1,2009,0
22,57,1,2010,0
22,57,1,2011,2
22,57,1,2012,0
22,57,1,2013,0
22,57,1,2014,0
22,57,1,2015,0
22,57,1,2016,1
22,57,1,2017,0
31,69,2,2006,0
31,69,2,2007,0
31,69,2,2008,0
31,69,2,2009,0
31,69,2,2010,0
31,69,2,2011,0
31,69,2,2012,0
31,69,2,2013,0
31,69,2,2014,0
31,69,2,2015,1
31,69,2,2016,0
31,69,2,2017,0
31,69,1,2006,1
31,69,1,2007,2
31,69,1,2008,0
31,69,1,2009,0
31,69,1,2010,0
31,69,1,2011,1
31,69,1,2012,1
31,69,1,2013,0
31,69,1,2014,2
31,69,1,2015,1
31,69,1,2016,0
31,69,1,2017,1
31,99,2,2006,1
31,99,2,2007,0
31,99,2,2008,0
31,99,2,2009,2
31,99,2,2010,1
31,99,2,2011,0
31,99,2,2012,1
31,99,2,2013,0
31,99,2,2014,1
31,99,2,2015,1
31,99,2,2016,1
31,99,2,2017,1
31,99,1,2006,5
31,99,1,2007,1
31,99,1,2008,2
31,99,1,2009,4
31,99,1,2010,5
31,99,1,2011,6
31,99,1,2012,5
31,99,1,2013,6
31,99,1,2014,6
31,99,1,2015,4
31,99,1,2016,8
31,99,1,2017,5
31,80,2,2006,2
31,80,2,2007,1
31,80,2,2008,4
31,80,2,2009,1
31,80,2,2010,1
31,80,2,2011,2
31,80,2,2012,1
31,80,2,2013,2
31,80,2,2014,1
31,80,2,2015,6
31,80,2,2016,2
31,80,2,2017,1
31,80,1,2006,4
31,80,1,2007,4
31,80,1,2008,11
31,80,1,2009,15
31,80,1,2010,7
31,80,1,2011,5
31,80,1,2012,8
31,80,1,2013,9
31,80,1,2014,9
31,80,1,2015,12
31,80,1,2016,8
31,80,1,2017,11
31,5,2,2006,1
31,5,2,2007,3
31,5,2,2008,1
31,5,2,2009,3
31,5,2,2010,0
31,5,2,2011,2
31,5,2,2012,0
31,5,2,2013,0
31,5,2,2014,5
31,5,2,2015,0
31,5,2,2016,0
31,5,2,2017,1
31,5,1,2006,8
31,5,1,2007,12
31,5,1,2008,6
31,5,1,2009,1
31,5,1,2010,4
31,5,1,2011,9
31,5,1,2012,7
31,5,1,2013,3
31,5,1,2014,12
31,5,1,2015,10
31,5,1,2016,9
31,5,1,2017,4
31,18,2,2006,0
31,18,2,2007,0
31,18,2,2008,0
31,18,2,2009,0
31,18,2,2010,2
31,18,2,2011,3
31,18,2,2012,3
31,18,2,2013,2
31,18,2,2014,1
31,18,2,2015,0
31,18,2,2016,0
31,18,2,2017,1
31,18,1,2006,2
31,18,1,2007,2
31,18,1,2008,2
31,18,1,2009,2
31,18,1,2010,4
31,18,1,2011,5
31,18,1,2012,4
31,18,1,2013,5
31,18,1,2014,7
31,18,1,2015,9
31,18,1,2016,7
31,18,1,2017,10
31,48,2,2006,0
31,48,2,2007,1
31,48,2,2008,0
31,48,2,2009,1
31,48,2,2010,0
31,48,2,2011,0
31,48,2,2012,0
31,48,2,2013,0
31,48,2,2014,0
31,48,2,2015,0
31,48,2,2016,0
31,48,2,2017,0
31,48,1,2006,0
31,48,1,2007,0
31,48,1,2008,0
31,48,1,2009,1
31,48,1,2010,0
31,48,1,2011,1
31,48,1,2012,0
31,48,1,2013,0
31,48,1,2014,0
31,48,1,2015,0
31,48,1,2016,0
31,48,1,2017,1
31,6,2,2006,2
31,6,2,2007,2
31,6,2,2008,5
31,6,2,2009,3
31,6,2,2010,0
31,6,2,2011,1
31,6,2,2012,2
31,6,2,2013,0
31,6,2,2014,2
31,6,2,2015,2
31,6,2,2016,0
31,6,2,2017,1
31,6,1,2006,5
31,6,1,2007,4
31,6,1,2008,6
31,6,1,2009,4
31,6,1,2010,8
31,6,1,2011,5
31,6,1,2012,16
31,6,1,2013,8
31,6,1,2014,8
31,6,1,2015,16
31,6,1,2016,13
31,6,1,2017,11
31,58,2,2006,0
31,58,2,2007,0
31,58,2,2008,0
31,58,2,2009,0
31,58,2,2010,0
31,58,2,2011,0
31,58,2,2012,0
31,58,2,2013,0
31,58,2,2014,0
31,58,2,2015,0
31,58,2,2016,0
31,58,2,2017,1
31,58,1,2006,0
31,58,1,2007,0
31,58,1,2008,0
31,58,1,2009,0
31,58,1,2010,0
31,58,1,2011,0
31,58,1,2012,0
31,58,1,2013,0
31,58,1,2014,0
31,58,1,2015,2
31,58,1,2016,1
31,58,1,2017,0
31,29,2,2006,2
31,29,2,2007,0
31,29,2,2008,4
31,29,2,2009,2
31,29,2,2010,0
31,29,2,2011,0
31,29,2,2012,1
31,29,2,2013,1
31,29,2,2014,2
31,29,2,2015,1
31,29,2,2016,3
31,29,2,2017,3
31,29,1,2006,7
31,29,1,2007,4
31,29,1,2008,5
31,29,1,2009,8
31,29,1,2010,1
31,29,1,2011,6
31,29,1,2012,7
31,29,1,2013,5
31,29,1,2014,7
31,29,1,2015,6
31,29,1,2016,4
31,29,1,2017,3
31,7,2,2006,1
31,7,2,2007,1
31,7,2,2008,0
31,7,2,2009,2
31,7,2,2010,1
31,7,2,2011,0
31,7,2,2012,0
31,7,2,2013,0
31,7,2,2014,0
31,7,2,2015,0
31,7,2,2016,2
31,7,2,2017,0
31,7,1,2006,4
31,7,1,2007,4
31,7,1,2008,5
31,7,1,2009,8
31,7,1,2010,5
31,7,1,2011,8
31,7,1,2012,5
31,7,1,2013,5
31,7,1,2014,8
31,7,1,2015,7
31,7,1,2016,7
31,7,1,2017,16
31,89,2,2006,0
31,89,2,2007,0
31,89,2,2008,0
31,89,2,2009,0
31,89,2,2010,0
31,89,2,2011,0
31,89,2,2012,0
31,89,2,2013,1
31,89,2,2014,0
31,89,2,2015,1
31,89,2,2016,1
31,89,2,2017,0
31,89,1,2006,0
31,89,1,2007,0
31,89,1,2008,0
31,89,1,2009,0
31,89,1,2010,0
31,89,1,2011,0
31,89,1,2012,0
31,89,1,2013,0
31,89,1,2014,2
31,89,1,2015,0
31,89,1,2016,1
31,89,1,2017,0
31,30,2,2006,0
31,30,2,2007,0
31,30,2,2008,0
31,30,2,2009,0
31,30,2,2010,0
31,30,2,2011,0
31,30,2,2012,0
31,30,2,2013,0
31,30,2,2014,0
31,30,2,2015,0
31,30,2,2016,0
31,30,2,2017,0
31,30,1,2006,0
31,30,1,2007,0
31,30,1,2008,0
31,30,1,2009,0
31,30,1,2010,0
31,30,1,2011,0
31,30,1,2012,0
31,30,1,2013,0
31,30,1,2014,0
31,30,1,2015,0
31,30,1,2016,0
31,30,1,2017,0
31,3,2,2006,1
31,3,2,2007,0
31,3,2,2008,0
31,3,2,2009,0
31,3,2,2010,1
31,3,2,2011,2
31,3,2,2012,0
31,3,2,2013,1
31,3,2,2014,1
31,3,2,2015,3
31,3,2,2016,0
31,3,2,2017,0
31,3,1,2006,0
31,3,1,2007,8
31,3,1,2008,8
31,3,1,2009,2
31,3,1,2010,15
31,3,1,2011,4
31,3,1,2012,8
31,3,1,2013,10
31,3,1,2014,10
31,3,1,2015,10
31,3,1,2016,3
31,3,1,2017,13
31,19,2,2006,0
31,19,2,2007,1
31,19,2,2008,0
31,19,2,2009,1
31,19,2,2010,2
31,19,2,2011,0
31,19,2,2012,6
31,19,2,2013,1
31,19,2,2014,1
31,19,2,2015,2
31,19,2,2016,5
31,19,2,2017,1
31,19,1,2006,5
31,19,1,2007,2
31,19,1,2008,5
31,19,1,2009,13
31,19,1,2010,7
31,19,1,2011,13
31,19,1,2012,3
31,19,1,2013,11
31,19,1,2014,5
31,19,1,2015,9
31,19,1,2016,14
31,19,1,2017,16
31,59,2,2006,2
31,59,2,2007,2
31,59,2,2008,0
31,59,2,2009,0
31,59,2,2010,0
31,59,2,2011,0
31,59,2,2012,0
31,59,2,2013,0
31,59,2,2014,0
31,59,2,2015,1
31,59,2,2016,0
31,59,2,2017,1
31,59,1,2006,3
31,59,1,2007,3
31,59,1,2008,1
31,59,1,2009,1
31,59,1,2010,6
31,59,1,2011,0
31,59,1,2012,3
31,59,1,2013,1
31,59,1,2014,3
31,59,1,2015,8
31,59,1,2016,1
31,59,1,2017,1
31,49,2,2006,0
31,49,2,2007,0
31,49,2,2008,0
31,49,2,2009,0
31,49,2,2010,0
31,49,2,2011,0
31,49,2,2012,0
31,49,2,2013,1
31,49,2,2014,0
31,49,2,2015,0
31,49,2,2016,0
31,49,2,2017,0
31,49,1,2006,0
31,49,1,2007,1
31,49,1,2008,0
31,49,1,2009,0
31,49,1,2010,0
31,49,1,2011,0
31,49,1,2012,0
31,49,1,2013,1
31,49,1,2014,2
31,49,1,2015,1
31,49,1,2016,1
31,49,1,2017,2
31,60,2,2006,0
31,60,2,2007,0
31,60,2,2008,0
31,60,2,2009,0
31,60,2,2010,0
31,60,2,2011,0
31,60,2,2012,1
31,60,2,2013,0
31,60,2,2014,0
31,60,2,2015,0
31,60,2,2016,0
31,60,2,2017,0
31,60,1,2006,0
31,60,1,2007,0
31,60,1,2008,0
31,60,1,2009,0
31,60,1,2010,0
31,60,1,2011,0
31,60,1,2012,0
31,60,1,2013,0
31,60,1,2014,0
31,60,1,2015,0
31,60,1,2016,1
31,60,1,2017,0
31,70,2,2006,0
31,70,2,2007,0
31,70,2,2008,0
31,70,2,2009,0
31,70,2,2010,0
31,70,2,2011,0
31,70,2,2012,0
31,70,2,2013,0
31,70,2,2014,0
31,70,2,2015,0
31,70,2,2016,0
31,70,2,2017,0
31,70,1,2006,0
31,70,1,2007,0
31,70,1,2008,0
31,70,1,2009,1
31,70,1,2010,0
31,70,1,2011,0
31,70,1,2012,1
31,70,1,2013,0
31,70,1,2014,1
31,70,1,2015,1
31,70,1,2016,0
31,70,1,2017,0
31,36,2,2006,2
31,36,2,2007,2
31,36,2,2008,1
31,36,2,2009,1
31,36,2,2010,0
31,36,2,2011,0
31,36,2,2012,0
31,36,2,2013,0
31,36,2,2014,1
31,36,2,2015,0
31,36,2,2016,1
31,36,2,2017,0
31,36,1,2006,5
31,36,1,2007,8
31,36,1,2008,2
31,36,1,2009,3
31,36,1,2010,1
31,36,1,2011,9
31,36,1,2012,4
31,36,1,2013,2
31,36,1,2014,3
31,36,1,2015,2
31,36,1,2016,2
31,36,1,2017,8
31,20,2,2006,1
31,20,2,2007,0
31,20,2,2008,0
31,20,2,2009,2
31,20,2,2010,0
31,20,2,2011,3
31,20,2,2012,0
31,20,2,2013,2
31,20,2,2014,2
31,20,2,2015,3
31,20,2,2016,0
31,20,2,2017,3
31,20,1,2006,5
31,20,1,2007,8
31,20,1,2008,6
31,20,1,2009,3
31,20,1,2010,4
31,20,1,2011,11
31,20,1,2012,11
31,20,1,2013,9
31,20,1,2014,7
31,20,1,2015,10
31,20,1,2016,12
31,20,1,2017,12
31,61,2,2006,1
31,61,2,2007,0
31,61,2,2008,0
31,61,2,2009,0
31,61,2,2010,0
31,61,2,2011,0
31,61,2,2012,0
31,61,2,2013,0
31,61,2,2014,0
31,61,2,2015,0
31,61,2,2016,0
31,61,2,2017,0
31,61,1,2006,2
31,61,1,2007,2
31,61,1,2008,0
31,61,1,2009,0
31,61,1,2010,1
31,61,1,2011,2
31,61,1,2012,0
31,61,1,2013,0
31,61,1,2014,1
31,61,1,2015,2
31,61,1,2016,2
31,61,1,2017,1
31,2,69,2006,0
31,2,69,2007,0
31,2,69,2008,0
31,2,69,2009,0
31,2,69,2010,0
31,2,69,2011,0
31,2,69,2012,0
31,2,69,2013,0
31,2,69,2014,0
31,2,69,2015,0
31,2,69,2016,0
31,2,69,2017,0
31,2,99,2006,1
31,2,99,2007,1
31,2,99,2008,0
31,2,99,2009,0
31,2,99,2010,0
31,2,99,2011,1
31,2,99,2012,0
31,2,99,2013,1
31,2,99,2014,0
31,2,99,2015,2
31,2,99,2016,1
31,2,99,2017,0
31,2,80,2006,1
31,2,80,2007,1
31,2,80,2008,0
31,2,80,2009,1
31,2,80,2010,1
31,2,80,2011,1
31,2,80,2012,0
31,2,80,2013,1
31,2,80,2014,0
31,2,80,2015,1
31,2,80,2016,1
31,2,80,2017,2
31,2,5,2006,1
31,2,5,2007,1
31,2,5,2008,2
31,2,5,2009,1
31,2,5,2010,1
31,2,5,2011,0
31,2,5,2012,2
31,2,5,2013,0
31,2,5,2014,2
31,2,5,2015,1
31,2,5,2016,0
31,2,5,2017,0
31,2,18,2006,1
31,2,18,2007,0
31,2,18,2008,0
31,2,18,2009,0
31,2,18,2010,0
31,2,18,2011,0
31,2,18,2012,0
31,2,18,2013,4
31,2,18,2014,1
31,2,18,2015,0
31,2,18,2016,0
31,2,18,2017,0
31,2,48,2006,0
31,2,48,2007,0
31,2,48,2008,0
31,2,48,2009,0
31,2,48,2010,0
31,2,48,2011,0
31,2,48,2012,0
31,2,48,2013,0
31,2,48,2014,0
31,2,48,2015,0
31,2,48,2016,0
31,2,48,2017,0
31,2,6,2006,2
31,2,6,2007,0
31,2,6,2008,2
31,2,6,2009,0
31,2,6,2010,1
31,2,6,2011,0
31,2,6,2012,2
31,2,6,2013,0
31,2,6,2014,0
31,2,6,2015,3
31,2,6,2016,0
31,2,6,2017,2
31,2,58,2006,0
31,2,58,2007,0
31,2,58,2008,0
31,2,58,2009,0
31,2,58,2010,0
31,2,58,2011,0
31,2,58,2012,0
31,2,58,2013,0
31,2,58,2014,0
31,2,58,2015,0
31,2,58,2016,0
31,2,58,2017,0
31,2,29,2006,0
31,2,29,2007,3
31,2,29,2008,1
31,2,29,2009,0
31,2,29,2010,0
31,2,29,2011,0
31,2,29,2012,0
31,2,29,2013,1
31,2,29,2014,1
31,2,29,2015,1
31,2,29,2016,1
31,2,29,2017,0
31,2,7,2006,0
31,2,7,2007,1
31,2,7,2008,2
31,2,7,2009,1
31,2,7,2010,2
31,2,7,2011,0
31,2,7,2012,1
31,2,7,2013,1
31,2,7,2014,0
31,2,7,2015,1
31,2,7,2016,1
31,2,7,2017,2
31,2,89,2006,0
31,2,89,2007,0
31,2,89,2008,0
31,2,89,2009,0
31,2,89,2010,0
31,2,89,2011,0
31,2,89,2012,0
31,2,89,2013,0
31,2,89,2014,0
31,2,89,2015,0
31,2,89,2016,1
31,2,89,2017,0
31,2,30,2006,0
31,2,30,2007,0
31,2,30,2008,0
31,2,30,2009,0
31,2,30,2010,0
31,2,30,2011,0
31,2,30,2012,0
31,2,30,2013,0
31,2,30,2014,0
31,2,30,2015,0
31,2,30,2016,0
31,2,30,2017,0
31,2,3,2006,0
31,2,3,2007,0
31,2,3,2008,1
31,2,3,2009,0
31,2,3,2010,1
31,2,3,2011,0
31,2,3,2012,1
31,2,3,2013,1
31,2,3,2014,1
31,2,3,2015,1
31,2,3,2016,2
31,2,3,2017,1
31,2,19,2006,0
31,2,19,2007,0
31,2,19,2008,1
31,2,19,2009,2
31,2,19,2010,0
31,2,19,2011,1
31,2,19,2012,1
31,2,19,2013,0
31,2,19,2014,0
31,2,19,2015,2
31,2,19,2016,1
31,2,19,2017,1
31,2,59,2006,0
31,2,59,2007,0
31,2,59,2008,0
31,2,59,2009,0
31,2,59,2010,0
31,2,59,2011,0
31,2,59,2012,0
31,2,59,2013,0
31,2,59,2014,0
31,2,59,2015,0
31,2,59,2016,1
31,2,59,2017,1
31,2,49,2006,0
31,2,49,2007,0
31,2,49,2008,0
31,2,49,2009,0
31,2,49,2010,0
31,2,49,2011,0
31,2,49,2012,1
31,2,49,2013,0
31,2,49,2014,0
31,2,49,2015,0
31,2,49,2016,0
31,2,49,2017,0
31,2,60,2006,0
31,2,60,2007,0
31,2,60,2008,0
31,2,60,2009,0
31,2,60,2010,0
31,2,60,2011,0
31,2,60,2012,0
31,2,60,2013,0
31,2,60,2014,0
31,2,60,2015,0
31,2,60,2016,0
31,2,60,2017,0
31,2,70,2006,0
31,2,70,2007,0
31,2,70,2008,0
31,2,70,2009,0
31,2,70,2010,0
31,2,70,2011,0
31,2,70,2012,0
31,2,70,2013,0
31,2,70,2014,0
31,2,70,2015,0
31,2,70,2016,0
31,2,70,2017,0
31,2,36,2006,0
31,2,36,2007,1
31,2,36,2008,2
31,2,36,2009,0
31,2,36,2010,1
31,2,36,2011,0
31,2,36,2012,0
31,2,36,2013,1
31,2,36,2014,1
31,2,36,2015,0
31,2,36,2016,0
31,2,36,2017,0
31,2,20,2006,1
31,2,20,2007,4
31,2,20,2008,0
31,2,20,2009,1
31,2,20,2010,0
31,2,20,2011,0
31,2,20,2012,2
31,2,20,2013,1
31,2,20,2014,4
31,2,20,2015,3
31,2,20,2016,1
31,2,20,2017,2
31,2,61,2006,1
31,2,61,2007,0
31,2,61,2008,0
31,2,61,2009,0
31,2,61,2010,0
31,2,61,2011,0
31,2,61,2012,0
31,2,61,2013,0
31,2,61,2014,0
31,2,61,2015,0
31,2,61,2016,0
31,2,61,2017,0
31,2,2,2006,0
31,2,2,2007,0
31,2,2,2008,0
31,2,2,2009,0
31,2,2,2010,0
31,2,2,2011,0
31,2,2,2012,0
31,2,2,2013,0
31,2,2,2014,0
31,2,2,2015,0
31,2,2,2016,0
31,2,2,2017,0
31,2,90,2006,1
31,2,90,2007,0
31,2,90,2008,0
31,2,90,2009,0
31,2,90,2010,0
31,2,90,2011,0
31,2,90,2012,0
31,2,90,2013,0
31,2,90,2014,1
31,2,90,2015,0
31,2,90,2016,0
31,2,90,2017,0
31,2,21,2006,3
31,2,21,2007,1
31,2,21,2008,2
31,2,21,2009,3
31,2,21,2010,2
31,2,21,2011,0
31,2,21,2012,0
31,2,21,2013,1
31,2,21,2014,1
31,2,21,2015,3
31,2,21,2016,1
31,2,21,2017,2
31,2,22,2006,1
31,2,22,2007,1
31,2,22,2008,3
31,2,22,2009,1
31,2,22,2010,2
31,2,22,2011,2
31,2,22,2012,0
31,2,22,2013,1
31,2,22,2014,1
31,2,22,2015,1
31,2,22,2016,1
31,2,22,2017,1
31,2,8,2006,1
31,2,8,2007,3
31,2,8,2008,5
31,2,8,2009,1
31,2,8,2010,2
31,2,8,2011,2
31,2,8,2012,0
31,2,8,2013,2
31,2,8,2014,6
31,2,8,2015,7
31,2,8,2016,3
31,2,8,2017,8
31,2,9,2006,4
31,2,9,2007,1
31,2,9,2008,1
31,2,9,2009,1
31,2,9,2010,0
31,2,9,2011,1
31,2,9,2012,1
31,2,9,2013,4
31,2,9,2014,2
31,2,9,2015,3
31,2,9,2016,8
31,2,9,2017,2
31,2,10,2006,0
31,2,10,2007,0
31,2,10,2008,0
31,2,10,2009,0
31,2,10,2010,1
31,2,10,2011,1
31,2,10,2012,1
31,2,10,2013,1
31,2,10,2014,1
31,2,10,2015,1
31,2,10,2016,0
31,2,10,2017,0
31,2,31,2006,0
31,2,31,2007,0
31,2,31,2008,0
31,2,31,2009,0
31,2,31,2010,1
31,2,31,2011,0
31,2,31,2012,0
31,2,31,2013,2
31,2,31,2014,1
31,2,31,2015,0
31,2,31,2016,0
31,2,31,2017,2
31,2,23,2006,3
31,2,23,2007,1
31,2,23,2008,2
31,2,23,2009,3
31,2,23,2010,1
31,2,23,2011,2
31,2,23,2012,2
31,2,23,2013,2
31,2,23,2014,3
31,2,23,2015,1
31,2,23,2016,3
31,2,23,2017,3
31,2,37,2006,3
31,2,37,2007,1
31,2,37,2008,0
31,2,37,2009,2
31,2,37,2010,1
31,2,37,2011,0
31,2,37,2012,0
31,2,37,2013,1
31,2,37,2014,0
31,2,37,2015,0
31,2,37,2016,2
31,2,37,2017,1
31,2,62,2006,0
31,2,62,2007,1
31,2,62,2008,1
31,2,62,2009,1
31,2,62,2010,0
31,2,62,2011,0
31,2,62,2012,0
31,2,62,2013,0
31,2,62,2014,0
31,2,62,2015,0
31,2,62,2016,0
31,2,62,2017,0
31,2,24,2006,1
31,2,24,2007,0
31,2,24,2008,0
31,2,24,2009,1
31,2,24,2010,1
31,2,24,2011,3
31,2,24,2012,1
31,2,24,2013,1
31,2,24,2014,3
31,2,24,2015,1
31,2,24,2016,1
31,2,24,2017,2
31,2,71,2006,0
31,2,71,2007,0
31,2,71,2008,0
31,2,71,2009,0
31,2,71,2010,0
31,2,71,2011,0
31,2,71,2012,0
31,2,71,2013,0
31,2,71,2014,0
31,2,71,2015,0
31,2,71,2016,0
31,2,71,2017,0
31,2,25,2006,1
31,2,25,2007,0
31,2,25,2008,1
31,2,25,2009,0
31,2,25,2010,1
31,2,25,2011,0
31,2,25,2012,0
31,2,25,2013,2
31,2,25,2014,2
31,2,25,2015,4
31,2,25,2016,0
31,2,25,2017,5
31,2,11,2006,0
31,2,11,2007,0
31,2,11,2008,0
31,2,11,2009,1
31,2,11,2010,1
31,2,11,2011,1
31,2,11,2012,0
31,2,11,2013,0
31,2,11,2014,1
31,2,11,2015,0
31,2,11,2016,1
31,2,11,2017,0
31,2,81,2006,0
31,2,81,2007,0
31,2,81,2008,0
31,2,81,2009,0
31,2,81,2010,0
31,2,81,2011,0
31,2,81,2012,0
31,2,81,2013,0
31,2,81,2014,0
31,2,81,2015,0
31,2,81,2016,0
31,2,81,2017,1
31,2,26,2006,1
31,2,26,2007,1
31,2,26,2008,0
31,2,26,2009,0
31,2,26,2010,1
31,2,26,2011,0
31,2,26,2012,0
31,2,26,2013,1
31,2,26,2014,1
31,2,26,2015,0
31,2,26,2016,3
31,2,26,2017,1
31,2,91,2006,0
31,2,91,2007,0
31,2,91,2008,0
31,2,91,2009,0
31,2,91,2010,1
31,2,91,2011,0
31,2,91,2012,1
31,2,91,2013,0
31,2,91,2014,0
31,2,91,2015,0
31,2,91,2016,0
31,2,91,2017,1
31,2,38,2006,3
31,2,38,2007,0
31,2,38,2008,0
31,2,38,2009,0
31,2,38,2010,1
31,2,38,2011,1
31,2,38,2012,2
31,2,38,2013,2
31,2,38,2014,1
31,2,38,2015,0
31,2,38,2016,2
31,2,38,2017,1
31,2,82,2006,0
31,2,82,2007,0
31,2,82,2008,0
31,2,82,2009,0
31,2,82,2010,0
31,2,82,2011,0
31,2,82,2012,0
31,2,82,2013,0
31,2,82,2014,0
31,2,82,2015,0
31,2,82,2016,0
31,2,82,2017,0
31,2,72,2006,0
31,2,72,2007,0
31,2,72,2008,0
31,2,72,2009,0
31,2,72,2010,0
31,2,72,2011,0
31,2,72,2012,0
31,2,72,2013,0
31,2,72,2014,0
31,2,72,2015,0
31,2,72,2016,0
31,2,72,2017,1
31,2,12,2006,1
31,2,12,2007,7
31,2,12,2008,2
31,2,12,2009,2
31,2,12,2010,1
31,2,12,2011,4
31,2,12,2012,3
31,2,12,2013,2
31,2,12,2014,3
31,2,12,2015,0
31,2,12,2016,2
31,2,12,2017,5
31,2,13,2006,1
31,2,13,2007,2
31,2,13,2008,1
31,2,13,2009,2
31,2,13,2010,1
31,2,13,2011,1
31,2,13,2012,1
31,2,13,2013,0
31,2,13,2014,0
31,2,13,2015,2
31,2,13,2016,5
31,2,13,2017,1
31,2,27,2006,2
31,2,27,2007,0
31,2,27,2008,0
31,2,27,2009,1
31,2,27,2010,2
31,2,27,2011,0
31,2,27,2012,0
31,2,27,2013,0
31,2,27,2014,2
31,2,27,2015,1
31,2,27,2016,0
31,2,27,2017,0
31,2,83,2006,0
31,2,83,2007,0
31,2,83,2008,0
31,2,83,2009,0
31,2,83,2010,0
31,2,83,2011,0
31,2,83,2012,0
